Comment_Id,Dataset,Comment,User_Is_Sexist,Perspective_Toxicity,Perspective_Identity_Attack,Perspective_Insult,Perspective_Profanity,GPT_Sexism_Rating,GPT_Sexism_Score,User_Rated_Sexist_Content_Reasoning
212,benevolent,#ADayWithoutWomen TY for waking up the real women from #weshowup 👏🏻👏🏻 https://t.co/xiGw18XIZY,False,0.20839658,0.24150419,0.077136256,0.043165036,1.0,0.0,Not a direct statement of sexist opinion
215,hostile,"MENTION1185 MENTION1897 Is that just a male thing? Whenever I click on ""Female friendly/female choice"" porn, it's same as main content.",False,0.3969567,0.10221587,0.061976057,0.29209393,2.0,25.0,Not a direct statement of sexist opinion
231,call_me,"I think all women should be in the 49kg weight division, sports or not.",True,0.27750343,0.31307843,0.06564732,0.03690237,3.0,75.0,Behaviorial Expectations
234,call_me,we definitely need more all male pro shirtless dances. :-D #DWTS,False,0.13388206,0.056582913,0.035553806,0.07740857,2.0,30.0,Not a direct statement of sexist opinion
237,call_me,don’t they all look the same without makeup 💄?? https://t.co/Wvo4IfxHGp,False,0.09033044,0.009767435,0.02264188,0.04266402,2.0,25.0,Not a direct statement of sexist opinion
239,call_me,yes.. I do have issues with gay guys in my class #annoying,False,0.61223894,0.6007182,0.42367843,0.3496935,2.0,30.0,Not a direct statement of sexist opinion
240,call_me,MENTION1342 No one watches women’s basketball I mean seriously not a lot of people do. So the pay is go… https://t.co/m9DD9njlak,True,0.13041082,0.10221587,0.029493837,0.038906425,2.0,30.0,Stereotypes and Comparative opinions
245,benevolent,"What is life without women? MENTION4072 tells all in her poem ""Uncertainty"" ↓ #ADayWithoutWomen https://t.co/KLmbCDHhFa",False,0.17458448,0.15517195,0.033019636,0.04491858,1.0,0.0,Not a direct statement of sexist opinion
250,benevolent,"Beautiful, strong, sensitive, smart women. 💕☀️ #InternationalWomensDay #womensday 

Via MENTION1036 IG https://t.co/LTXF09brej",False,0.0154562555,0.0040512653,0.008253881,0.026727317,1.0,0.0,Not a direct statement of sexist opinion
251,call_me,"I wish the lead on ""Girls"" would just keep her clothes on.",False,0.21241048,0.06567776,0.06757036,0.045670103,3.0,70.0,Not a direct statement of sexist opinion
262,benevolent,A woman can make happiness bloom all around them 😀 Happy #WomensDay  💐💗 MENTION2984 https://t.co/yVQf1cn5cB,False,0.036870047,0.014048826,0.0105148945,0.023311393,1.0,0.0,Not a direct statement of sexist opinion
269,hostile,"MENTION619 MENTION953 MENTION3174 I love how a journalist blocked me (ostensibly us) for criticizing her ""journalism.""",False,0.104795754,0.012139536,0.025026767,0.022286616,1.0,0.0,Maybe Sexist - needs more context
276,call_me,MENTION3007 MENTION2543 MENTION4124 MENTION823 You can  I'd hazard a guess those were male police officers,False,0.07608539,0.035074018,0.02173949,0.022286616,2.0,30.0,Not a direct statement of sexist opinion
282,benevolent,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #aquarius #cnd #banthebomb #peace #love #ageofaquarius,True,0.18079062,0.02048012,0.032138187,0.11601777,2.0,30.0,Stereotypes and Comparative opinions
285,hostile,Manu - you're beautiful #mkr,False,0.026617315,0.0061416444,0.01313691,0.021945024,1.0,0.0,Not a direct statement of sexist opinion
288,benevolent,MENTION2086 That's an extremely good height for a girl to be,False,0.11357342,0.028016793,0.027730936,0.052934792,2.0,30.0,Not a direct statement of sexist opinion
290,call_me,Don't don't ask me to buy a bridal shower gift or for me to go to said shower. If I didn't for my sister I won't do it.,False,0.07212844,0.0058456613,0.017012933,0.023652986,1.0,0.0,Not a direct statement of sexist opinion
292,call_me,“MENTION2045: I think a flight attendant is a woman's job.” I agreeeeeee,True,0.18649188,0.18313584,0.047935467,0.01627459,3.0,75.0,Stereotypes and Comparative opinions
293,call_me,Best Actor is the most interesting category this year and it's the only one I'll probably watch tonight.,False,0.015519086,0.0037552824,0.008272881,0.014634945,1.0,0.0,Not a direct statement of sexist opinion
294,benevolent,"""I was raised to hustle like a man because I was told never to depend on one."" ✌🏽",False,0.034277402,0.00449524,0.017292,0.013439372,2.0,30.0,Not a direct statement of sexist opinion
295,hostile,"RT MENTION1592 Call me sexist or whatever you wish, but for some reason i really hate when girls talk about football.",True,0.44393396,0.38223284,0.24928534,0.29209393,3.0,75.0,Behaviorial Expectations
296,hostile,"MENTION2829 I'm sure the commentators you DON'T find attractive make less money, because your opinion matters so much.",False,0.1460314,0.005105704,0.06512285,0.015967157,2.0,30.0,Not a direct statement of sexist opinion
301,call_me,"MENTION691 Even numbers are for girls, odd numbers for boys. I'm just old fashioned.",False,0.11419344,0.057037655,0.029163294,0.039407436,2.0,30.0,Not a direct statement of sexist opinion
303,hostile,if you look at MENTION3804 you see tweets of pure hatred. If you look at MENTION996 you see a few light stupidity and jokes,False,0.60311776,0.04203484,0.6051471,0.35094926,1.0,0.0,Not a direct statement of sexist opinion
309,benevolent,Women are the real architects of society. We hold up half the sky .....  #WomensDay   thank you  MENTION179  .,False,0.24924077,0.27875587,0.06687108,0.041160982,1.0,0.0,Not a direct statement of sexist opinion
310,call_me,ever since i found out the cat that comes to my house is female i dnt rate her as much cuz now i… https://t.co/NM3YPWPE7P,False,0.23162876,0.16993292,0.06599696,0.10363861,2.0,25.0,Maybe Sexist - needs more context
320,benevolent,"""We can't be here without the participation of women and girls"" - #freeBiafra MENTION1974 on #WomensDay",False,0.041915078,0.029402243,0.0129089095,0.017572641,1.0,0.0,Not a direct statement of sexist opinion
326,call_me,"MENTION4163 I think she read too much Mills&Boon, had a romance, got married & is a happy mother",False,0.03592727,0.008139528,0.012452906,0.021876704,2.0,30.0,Not a direct statement of sexist opinion
331,hostile,I've never wanted to punch someone so bad. Kat is coming across as absolutely awful. #mkr #meangirl,False,0.47119883,0.041003603,0.43158367,0.2453505,1.0,0.0,Not a direct statement of sexist opinion
332,call_me,MENTION3227 MENTION269 its a very good point. I renege at a man telling me what skin care and make up I should use,True,0.09394901,0.020882076,0.018838953,0.029186781,2.0,30.0,Stereotypes and Comparative opinions
338,hostile,Word. #GamerGate http://t.co/6wPJPWTEQN,False,0.012314741,0.0017204003,0.00810188,0.020442016,2.0,30.0,Not a direct statement of sexist opinion
339,call_me,"For real. Asking a woman to move smh!! naw no go""MENTION3988: MENTION3549 lmao IDC IDC! Call your male friends""",True,0.36095104,0.17925262,0.15840563,0.1811049,3.0,60.0,Maybe Sexist - needs more context
344,benevolent,"""Love me like a woman but make love to me like a man""... #morning #laughs MENTION54",True,0.36095104,0.051126,0.05086332,0.22703624,2.0,25.0,Stereotypes and Comparative opinions
356,benevolent,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,True,0.025792383,0.0051427023,0.011160898,0.013883443,3.0,75.0,Behaviorial Expectations
359,benevolent,"To all the beautiful women, today is your day!! Feel special, unique and top of the world!! #womensday… https://t.co/9tLlZD7h6X",False,0.029799197,0.013445892,0.010438894,0.024541125,1.0,0.0,Not a direct statement of sexist opinion
372,call_me,Lol! R/t MENTION660: I don't think women should participate in Movember...like the physically growing a mustache part.,True,0.36095104,0.38238457,0.24928534,0.11601777,3.0,75.0,Behaviorial Expectations
383,call_me,Don't my computer has a father board MENTION4109,False,0.044388983,0.0063266335,0.0129089095,0.02344803,1.0,0.0,Not a direct statement of sexist opinion
384,hostile,MiddleInformer: RT benpobjie: Credit to Kat: she puts a hell of a lot more effort into badmouthing others than she does her cooking #MKR,False,0.27236435,0.016963007,0.110259406,0.22792831,2.0,25.0,Not a direct statement of sexist opinion
393,call_me,I just saw a woman masterfully parallel park that’s a first for me https://t.co/NdC8j0aqv3,True,0.11098998,0.025404079,0.018645585,0.06546012,3.0,65.0,Stereotypes and Comparative opinions
395,call_me,RT MENTION468 I wouldn't mind a stay at home wife. Don't need my kids being raised by someone other than family.,True,0.07291982,0.012441003,0.017356457,0.021398475,2.0,30.0,Behaviorial Expectations
399,call_me,I'm tired of men commentating EVERY SPORT EVER. #MondayNightFootball https://t.co/SH3DXLthXv,True,0.10956833,0.046159767,0.031036375,0.022628209,2.0,25.0,Stereotypes and Comparative opinions
400,hostile,Watch the camera pan in on Cunt face #mkr,False,0.6426206,0.07591068,0.40420914,0.6001929,4.0,85.0,Not a direct statement of sexist opinion
408,hostile,"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck",False,0.8364697,0.11512129,0.6831271,0.7673477,2.0,25.0,Not a direct statement of sexist opinion
410,benevolent,My girl handsome like a man,False,0.25462922,0.08004672,0.086852804,0.110447146,2.0,30.0,Not a direct statement of sexist opinion
428,hostile,This is the exact reason why Women shouldn't be involved. Not sexist. But situations like this will always be blown out of proportion.,True,0.26104406,0.29798782,0.070799805,0.039407436,3.0,75.0,Behaviorial Expectations
431,benevolent,"""The biggest coward of a man is to awaken the love of a woman without the intention of loving her""
Bob M 💚",False,0.30854854,0.10221587,0.30797598,0.08904689,2.0,20.0,Not a direct statement of sexist opinion
466,benevolent,Happy #WomensDay to all the women around the world because it's u women who make the whole world go around 🙏🙏🙏💐💐💐,False,0.11223003,0.10221587,0.030595649,0.027683776,1.0,0.0,Not a direct statement of sexist opinion
479,call_me,MENTION755 lol something about a guy who takes selfies! that's a girl thing!,True,0.19504376,0.042550452,0.06442356,0.06495911,3.0,70.0,Stereotypes and Comparative opinions
480,call_me,I hate female cops they be taking they job 2 serious,True,0.6308517,0.6227552,0.41767508,0.3033754,3.0,75.0,Endorsement of inequality
484,call_me,I'd rather have a female doctor,False,0.1269396,0.1015541,0.026315894,0.028230323,1.0,0.0,Not a direct statement of sexist opinion
490,hostile,You'll be laughing last #skankKat #mkr,False,0.22579013,0.009693438,0.08558089,0.26555094,3.0,75.0,Not a direct statement of sexist opinion
492,call_me,Female UFC Fighters creep me out,True,0.31132057,0.27662867,0.10294484,0.19893537,3.0,70.0,Behaviorial Expectations
494,call_me,I can't take a female rapper serious when she talking about selling drugs,True,0.38811707,0.37879246,0.25602314,0.14313951,3.0,70.0,Stereotypes and Comparative opinions
497,hostile,This is not sexist... But I CANNOT handle women announcers! I am about to mute the tv #dukevsunc,True,0.4269174,0.37292135,0.16802633,0.19524631,3.0,75.0,Stereotypes and Comparative opinions
499,call_me,MENTION3785 boggle eyes but loved her voice - not keen on girls playing guitars,True,0.17545098,0.056582913,0.045007613,0.06395709,2.0,25.0,Endorsement of inequality
503,call_me,there is just something about seeing smiling girls that makes me feel good....,False,0.11388343,0.021585498,0.020708188,0.057443913,2.0,30.0,Not a direct statement of sexist opinion
508,call_me,girls shouldn't speak unless they are spoken to 1st,True,0.37751234,0.44690517,0.16551061,0.11354194,4.0,95.0,Behaviorial Expectations
509,call_me,If you have boobs and you play cod you are automatically a successful youtuber. shit its true idgaf,True,0.78711975,0.11396073,0.38852,0.70864636,3.0,75.0,Stereotypes and Comparative opinions
510,benevolent,know you're worth ladies ❤️💪🏽 we are all so special 💋 LOVE YOURSELF #womensday,False,0.030034892,0.009693438,0.010932897,0.025360947,1.0,0.0,Not a direct statement of sexist opinion
521,call_me,I think its wrong for a H.S. girl to wrestle boys...  http://tinyurl.com/4g58yvn,True,0.19409354,0.10221587,0.04207976,0.10363861,3.0,75.0,Stereotypes and Comparative opinions
525,call_me,"when I see a man telling me how to navigate mom-centric marketing, I'm automatically skeptical of the advice.",True,0.026617315,0.005105704,0.012566907,0.01442999,2.0,25.0,Stereotypes and Comparative opinions
531,hostile,RT MENTION3307 It's not sexist but I do believe most girls are not good drivers.,True,0.47772613,0.53446084,0.40243408,0.22542313,3.0,75.0,Stereotypes and Comparative opinions
534,call_me,I can't stand watching college football with a female announcer,True,0.3969567,0.4054415,0.23237456,0.11354194,3.0,75.0,Behaviorial Expectations
540,benevolent,"Your man isn't your man until he proves so. Let him step up to the plate and make mature moves like a man, like he should.",True,0.16245349,0.011469335,0.07998765,0.018119188,3.0,75.0,Behaviorial Expectations
553,benevolent,"Our society says it's sexist to pay for a girls meal, to open doors for a girl, to show respect to a girl.... think about that... #feminism",True,0.30993456,0.2869935,0.0818789,0.084844165,3.0,70.0,Denying inequality
557,call_me,MENTION1336 you can you're the one learning to cook,False,0.18174082,0.0073995716,0.06921569,0.04216301,1.0,0.0,Not a direct statement of sexist opinion
560,call_me,"People being sexist is wrong
And only women are wrong",True,0.38434127,0.43896464,0.24424846,0.12035047,3.0,70.0,Stereotypes and Comparative opinions
564,benevolent,"There Is No Greater Motivation Than The Love Of A Woman. 
Happy Women's Day. Cherish Women. 😊😊😊",False,0.045873325,0.026007013,0.013592913,0.016001316,1.0,0.0,Not a direct statement of sexist opinion
574,hostile,MENTION1406 MENTION2248 MENTION1723 MENTION3143 No. Just listing two of the only degrees more useless than mine...,False,0.3389984,0.0032928092,0.3493834,0.057443913,1.0,0.0,Not a direct statement of sexist opinion
576,hostile,MENTION3343 MENTION4095 It's actually two separate proposals.  Real.  Insane.,False,0.2922276,0.003144818,0.25404143,0.04141149,1.0,0.0,Not a direct statement of sexist opinion
581,hostile,Omg Crazy Eyes aka Kat is crazy! Karma got her back after she laughed at Annie's dish 😂 #MKR #MKR15 #crazyeyes,False,0.3666224,0.023193322,0.35016364,0.15985115,1.0,0.0,Not a direct statement of sexist opinion
588,call_me,JAN M: women's clothes DO matter! - Daily Mail: Daily MailJAN MO... http://t.co/8QcUeDsOiE http://t.co/8Uo8jnrn5v,False,0.030977672,0.00984143,0.01302291,0.027000591,1.0,0.0,Maybe Sexist - needs more context
591,hostile,"""Radical""? lol no MENTION1643 Call me sexist. But a girl playing bf4? Lol no",True,0.4014846,0.18391247,0.24903896,0.22105443,3.0,75.0,Endorsement of inequality
592,call_me,women can't announce football games. Especially the one on big ten network,True,0.37751234,0.46028158,0.16846494,0.059948977,3.0,75.0,Behaviorial Expectations
595,benevolent,"Women aren't created weaker than men. Women are created stronger to teach & LOVE us. Without Women, everyone's nothing. #IWD2017 #WomensDay",False,0.24763705,0.28034934,0.08030447,0.039657943,2.0,30.0,Not a direct statement of sexist opinion
604,benevolent,"For the love of a woman, visceral and tender and primitive and fierce. 
For the love of every woman",False,0.19789438,0.10221587,0.06477321,0.054437835,1.0,0.0,Not a direct statement of sexist opinion
606,call_me,I do not like female engineering teachers,True,0.4269174,0.5135796,0.191015,0.12220735,3.0,70.0,Stereotypes and Comparative opinions
607,hostile,10-to-1 odds this guy faints after one punch MENTION1955 I'm not sexist but girls can't fight and if you think you can you need to stop,True,0.42568782,0.14233272,0.14512913,0.22643133,3.0,75.0,Behaviorial Expectations
617,hostile,"If Kat and Andre are strategically scoring, they need to be kicked off #mkr2015 #mkr",False,0.3389984,0.027614836,0.0810151,0.1067334,1.0,0.0,Not a direct statement of sexist opinion
619,call_me,I honestly believe ladies should have more respect for their husbands than husbands for their wives,True,0.19029272,0.16993292,0.039444692,0.035399333,3.0,75.0,Behaviorial Expectations
621,hostile,Dont even get me started on females man. Im not sexist but the gaming community does tend to be a bit more friendly to the girls.,True,0.16851899,0.09328204,0.032689095,0.08807703,3.0,65.0,Behaviorial Expectations
635,hostile,Well MENTION953 I checked out Jessica V's Twitter. Nice objectification of men and threats of violence. http://t.co/xRhxfv5YyB,False,0.1798404,0.035074018,0.03335018,0.039657943,3.0,70.0,Maybe Sexist - needs more context
642,hostile,"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",False,0.08953904,0.011543332,0.030595649,0.019553876,2.0,20.0,Maybe Sexist - needs more context
648,benevolent,"""I don't want to be a queen. I want to be the queen."" #womensday https://t.co/5h2nzglfGd",False,0.055768944,0.025605056,0.016708933,0.025770858,1.0,0.0,Not a direct statement of sexist opinion
650,benevolent,"Taking care of kids, cooking food, doing dishes and cleaning house is a tough job.
Appreciate them.
Happy #WomensDay to Shirish K.",True,0.015644746,0.006511623,0.0086718835,0.010160086,2.0,30.0,Behaviorial Expectations
652,call_me,A student just meant to called me sexual,False,0.39021665,0.036878675,0.06564732,0.26593533,2.0,25.0,Not a direct statement of sexist opinion
654,call_me,I.............  Have no idea where this tweet was going,False,0.028974265,0.0035517942,0.011008898,0.017982552,1.0,0.0,Not a direct statement of sexist opinion
657,hostile,MENTION4310 I think you might enjoy it too much but go ahead! Smack her silly. #mkr,False,0.50503236,0.031206898,0.48627716,0.26628086,3.0,70.0,Maybe Sexist - needs more context
660,call_me,"I do not believe a woman can do everything a man can, if so God wouldnt have made them different!",True,0.32182294,0.3758158,0.09563028,0.048175167,4.0,85.0,Behaviorial Expectations
663,call_me,"MENTION3947 the ladies would get them sum lurvin, the boys? well, they'd get their bums squished in return, with a clamp! lol",False,0.50789946,0.10221587,0.28586254,0.39409557,3.0,65.0,Maybe Sexist - needs more context
667,call_me,"Still confused as to why MENTION2032 follows me, I mean that's a real blow to the balls",False,0.56269526,0.017063495,0.19225755,0.4798129,1.0,0.0,Not a direct statement of sexist opinion
670,call_me,I believe only women should be allowed to wear jerseys to sporting events,True,0.39021665,0.46028158,0.16266862,0.0864606,3.0,70.0,Behaviorial Expectations
672,hostile,Top-notch commentary A+ would ridicule again. MENTION2008 MENTION3429 hahahahahaha what a fuckin pussy,False,0.91625386,0.10221587,0.6306599,0.8802007,3.0,70.0,Not a direct statement of sexist opinion
681,call_me,I couldn't bring myself to hit a woman.,False,0.4269174,0.2781757,0.08030447,0.17241211,2.0,30.0,Not a direct statement of sexist opinion
684,call_me,"Tim K called the Iraq War a ""noble cause"" (in 2006!), I find this more offensive than Trump's piggish priapic boasts",False,0.2922276,0.022188433,0.26957804,0.029050145,1.0,0.0,Not a direct statement of sexist opinion
686,hostile,RT MENTION997 I'm not sexist but women in letterman'a jackets look so weird to me,True,0.39669925,0.38200524,0.24928534,0.20016506,2.0,25.0,Stereotypes and Comparative opinions
689,call_me,"Call me traditionalist, call me old-fashioned, where I grew up, a lady doesn't ghostbust.",True,0.17545098,0.10221587,0.06267534,0.039657943,2.0,30.0,Behaviorial Expectations
696,call_me,there is absolutely nothing more annoying than an insecure grown dude.,False,0.4014846,0.05612817,0.4339631,0.1067334,1.0,0.0,Not a direct statement of sexist opinion
703,hostile,No offence to anyone but women are poor drivers #notsexist #maybesexist,True,0.5721988,0.57957685,0.46774593,0.2424468,3.0,75.0,Stereotypes and Comparative opinions
706,hostile,".MENTION2040 MENTION922 He got one serve, not two.  Had to defend the doubles lines also.",False,0.015644746,0.0019423875,0.008025879,0.011184863,1.0,0.0,Not a direct statement of sexist opinion
709,benevolent,"Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man.
#ALDUBxDTBYSoulmates",False,0.10913446,0.072601855,0.02567133,0.017094411,2.0,30.0,Not a direct statement of sexist opinion
711,call_me,no female is cutting my hair.,True,0.20032968,0.19100772,0.034562174,0.064458095,3.0,75.0,Behaviorial Expectations
714,call_me,RT MENTION1122 I really don't like when women do the commentating for football games.,True,0.39231625,0.46028158,0.16809943,0.11230402,3.0,75.0,Stereotypes and Comparative opinions
721,call_me,MENTION2603 Is this something husbands are supposed to know? I thought that kind of gossip was a chick thing.,True,0.15656179,0.017465452,0.058475737,0.06746418,3.0,70.0,Stereotypes and Comparative opinions
726,call_me,sea horses are the only ones who can hear drum beats.,False,0.061444655,0.006511623,0.021159383,0.019075647,1.0,0.0,Not a direct statement of sexist opinion
736,hostile,"RT MENTION857 I'm really not sexist, but most women can't drive for shit!!",True,0.8364697,0.55044734,0.5130944,0.7673477,3.0,75.0,Stereotypes and Comparative opinions
741,benevolent,If she writes a symphony better than Mozart or paints better than Picasso. Only a mad man would say she's half as good.,False,0.3389984,0.01656105,0.36798462,0.07805514,1.0,0.0,Not a direct statement of sexist opinion
744,call_me,MENTION3694 I was thinking Ice-T and Henry R.,False,0.016587202,0.0034408006,0.009051885,0.013678487,1.0,0.0,Not a direct statement of sexist opinion
749,call_me,"I hate movies where the girl is the hero, I mean it just all looks so corny.",True,0.4014846,0.18468912,0.16883044,0.28593817,3.0,75.0,Behaviorial Expectations
758,benevolent,We can’t achieve any of our goals without the participation of women and girls. #WomensDay https://t.co/2oCVEQQFMR,False,0.03192045,0.023595277,0.010058892,0.014327513,1.0,0.0,Not a direct statement of sexist opinion
760,call_me,First Take is painful to watch. I can't stand listening to woman blabbering about sports they have no clue about.,True,0.32557452,0.19298288,0.26957804,0.051431753,4.0,90.0,Stereotypes and Comparative opinions
761,call_me,no woman should be a president. World leaders would not take her seriously.,True,0.50503236,0.55044734,0.36939126,0.1110661,4.0,90.0,Stereotypes and Comparative opinions
764,call_me,😑😑😑 this will never work  https://t.co/wLPJB5J05L,False,0.08953904,0.0037367835,0.015188923,0.047674157,1.0,0.0,Not a direct statement of sexist opinion
772,call_me,Agreed. RT MENTION352: Wrote on the Iowa kid who refused to wrestle a girl. Some will screw it: http://bit.ly/fiYroU,False,0.3625127,0.030433474,0.1505596,0.352205,1.0,0.0,Maybe Sexist - needs more context
778,call_me,i still go out of my way to open a door for a lady,False,0.19694418,0.083355546,0.029493837,0.055940874,2.0,30.0,Not a direct statement of sexist opinion
780,hostile,".MENTION3993 You won't answer, like most feminists, because the answer exposes your OPPOSITION to #equality.  You fool only yourselves...",True,0.4014846,0.2795294,0.40975618,0.08710717,3.0,75.0,Denying inequality
783,call_me,Some may I refuse to watch a show with a strong female lead...ordering men around like children..just not believable...,True,0.18649188,0.10221587,0.06687108,0.01893901,3.0,70.0,Behaviorial Expectations
785,call_me,"Ok, a woman beside me just hawked and spat in the gutter. -#unbecoming",True,0.37751234,0.053399716,0.11616662,0.28938356,3.0,75.0,Behaviorial Expectations
789,call_me,IDGAF what anyone says and y'all can I just don't believe two women can have beef. They have misunderstandings.,False,0.3302291,0.26833034,0.18107465,0.22612886,2.0,30.0,Maybe Sexist - needs more context
795,benevolent,I need me a tall mother fucker cause apparently I'm tall for a girl 😭 https://t.co/o9gWKCV5L3,False,0.78855824,0.1007269,0.46625584,0.84506536,1.0,0.0,Not a direct statement of sexist opinion
