Comment_Id,Dataset,Comment,User_Is_Sexist,Perspective_Toxicity,Perspective_Identity_Attack,Perspective_Insult,Perspective_Profanity,Perspective_Threat,Perspective_Sexually_Explicit,Sexist,GPT_Sexism_Rating,GPT_Sexism_Score,GPT_Sexism_Rating_Probability,GPT__Sexism_Score_Probability,content,majority_content
234,call_me,we definitely need more all male pro shirtless dances. :-D #DWTS,False,0.13388206,0.056582913,0.035553806,0.07740857,0.009463178,0.046099816,0,2.0,30.0,97.7,76.04,"[5, 6, 6, 6, 6]",6
237,call_me,don’t they all look the same without makeup 💄?? https://t.co/Wvo4IfxHGp,False,0.09033044,0.009767435,0.02264188,0.04266402,0.0074565844,0.06376713,0,2.0,25.0,22.27,25.72,"[6, 5, 6, 6, 5]",6
239,call_me,yes.. I do have issues with gay guys in my class #annoying,False,0.61223894,0.6007182,0.42367843,0.3496935,0.011715741,0.19440699,0,2.0,30.0,92.57,67.15,"[6, 3, 6, 6, 6]",6
240,call_me,MENTION1342 No one watches women’s basketball I mean seriously not a lot of people do. So the pay is go… https://t.co/m9DD9njlak,True,0.13041082,0.10221587,0.029493837,0.038906425,0.007547205,0.03956291,1,2.0,30.0,32.08,70.07,"[5, 1, 6, 2, 2]",2
245,benevolent,"What is life without women? MENTION4072 tells all in her poem ""Uncertainty"" ↓ #ADayWithoutWomen https://t.co/KLmbCDHhFa",False,0.17458448,0.15517195,0.033019636,0.04491858,0.014738814,0.07662201,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 5, 6]",6
250,benevolent,"Beautiful, strong, sensitive, smart women. 💕☀️ #InternationalWomensDay #womensday 

Via MENTION1036 IG https://t.co/LTXF09brej",False,0.0154562555,0.0040512653,0.008253881,0.026727317,0.0059160385,0.059173625,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
251,call_me,"I wish the lead on ""Girls"" would just keep her clothes on.",False,0.21241048,0.06567776,0.06757036,0.045670103,0.0115345,0.113530055,0,3.0,70.0,91.48,53.84,"[6, 5, 6, 2, 6]",6
262,benevolent,A woman can make happiness bloom all around them 😀 Happy #WomensDay  💐💗 MENTION2984 https://t.co/yVQf1cn5cB,False,0.036870047,0.014048826,0.0105148945,0.023311393,0.008090926,0.045923144,0,1.0,0.0,99.98,99.92,"[2, 6, 6, 2, 6]",6
269,hostile,"MENTION619 MENTION953 MENTION3174 I love how a journalist blocked me (ostensibly us) for criticizing her ""journalism.""",False,0.104795754,0.012139536,0.025026767,0.022286616,0.0116639575,0.018282922,0,1.0,0.0,100.0,100.0,"[5, 6, 5, 6, 5]",5
276,call_me,MENTION3007 MENTION2543 MENTION4124 MENTION823 You can  I'd hazard a guess those were male police officers,False,0.07608539,0.035074018,0.02173949,0.022286616,0.009204263,0.024534503,0,2.0,30.0,96.69,62.93,"[1, 6, 5, 6, 6]",6
282,benevolent,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #aquarius #cnd #banthebomb #peace #love #ageofaquarius,True,0.18079062,0.02048012,0.032138187,0.11601777,0.042662576,0.26233563,1,2.0,30.0,56.22,65.81,"[2, 6, 1, 2, 6]",2
285,hostile,Manu - you're beautiful #mkr,False,0.026617315,0.0061416444,0.01313691,0.021945024,0.008582866,0.018400878,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
288,benevolent,MENTION2086 That's an extremely good height for a girl to be,False,0.11357342,0.028016793,0.027730936,0.052934792,0.009359611,0.10698185,0,2.0,30.0,100.0,65.08,"[6, 2, 6, 6, 6]",6
290,call_me,Don't don't ask me to buy a bridal shower gift or for me to go to said shower. If I didn't for my sister I won't do it.,False,0.07212844,0.0058456613,0.017012933,0.023652986,0.008181547,0.041506317,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
292,call_me,“MENTION2045: I think a flight attendant is a woman's job.” I agreeeeeee,True,0.18649188,0.18313584,0.047935467,0.01627459,0.006537435,0.012798046,1,3.0,75.0,93.98,55.61,"[3, 3, 2, 2, 1]",2
293,call_me,Best Actor is the most interesting category this year and it's the only one I'll probably watch tonight.,False,0.015519086,0.0037552824,0.008272881,0.014634945,0.008039144,0.011677479,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 5]",6
294,benevolent,"""I was raised to hustle like a man because I was told never to depend on one."" ✌🏽",False,0.034277402,0.00449524,0.017292,0.013439372,0.005948403,0.0070772604,0,2.0,30.0,99.96,83.88,"[6, 6, 1, 6, 5]",6
295,hostile,"RT MENTION1592 Call me sexist or whatever you wish, but for some reason i really hate when girls talk about football.",True,0.44393396,0.38223284,0.24928534,0.29209393,0.018710058,0.34177783,1,3.0,75.0,97.7,39.07,"[1, 2, 1, 1, 1]",1
296,hostile,"MENTION2829 I'm sure the commentators you DON'T find attractive make less money, because your opinion matters so much.",False,0.1460314,0.005105704,0.06512285,0.015967157,0.006058442,0.0122672515,0,2.0,30.0,91.43,70.34,"[6, 5, 5, 6, 6]",6
301,call_me,"MENTION691 Even numbers are for girls, odd numbers for boys. I'm just old fashioned.",False,0.11419344,0.057037655,0.029163294,0.039407436,0.008531082,0.06553386,0,2.0,30.0,11.92,65.05,"[6, 5, 2, 6, 1]",6
303,hostile,if you look at MENTION3804 you see tweets of pure hatred. If you look at MENTION996 you see a few light stupidity and jokes,False,0.60311776,0.04203484,0.6051471,0.35094926,0.009903334,0.02205746,0,1.0,0.0,100.0,100.0,"[5, 6, 6, 6, 6]",6
309,benevolent,Women are the real architects of society. We hold up half the sky .....  #WomensDay   thank you  MENTION179  .,False,0.24924077,0.27875587,0.06687108,0.041160982,0.011223801,0.027129497,0,1.0,0.0,100.0,99.26,"[6, 6, 6, 6, 6]",6
310,call_me,ever since i found out the cat that comes to my house is female i dnt rate her as much cuz now i… https://t.co/NM3YPWPE7P,False,0.23162876,0.16993292,0.06599696,0.10363861,0.009877442,0.07602672,0,2.0,25.0,97.17,47.44,"[5, 5, 2, 6, 5]",5
320,benevolent,"""We can't be here without the participation of women and girls"" - #freeBiafra MENTION1974 on #WomensDay",False,0.041915078,0.029402243,0.0129089095,0.017572641,0.009618527,0.027955178,0,1.0,0.0,100.0,100.0,"[5, 6, 6, 6, 6]",6
326,call_me,"MENTION4163 I think she read too much Mills&Boon, had a romance, got married & is a happy mother",False,0.03592727,0.008139528,0.012452906,0.021876704,0.007870848,0.031139946,0,2.0,30.0,99.41,75.05,"[6, 6, 2, 5, 6]",6
331,hostile,I've never wanted to punch someone so bad. Kat is coming across as absolutely awful. #mkr #meangirl,False,0.47119883,0.041003603,0.43158367,0.2453505,0.34876925,0.055640165,0,1.0,0.0,100.0,99.95,"[5, 5, 6, 6, 6]",6
332,call_me,MENTION3227 MENTION269 its a very good point. I renege at a man telling me what skin care and make up I should use,True,0.09394901,0.020882076,0.018838953,0.029186781,0.011560392,0.046276487,1,2.0,30.0,99.63,65.54,"[3, 2, 2, 6, 6]",2
338,hostile,Word. #GamerGate http://t.co/6wPJPWTEQN,False,0.012314741,0.0017204003,0.00810188,0.020442016,0.00675104,0.024534503,0,2.0,30.0,65.9,67.57,"[6, 5, 6, 5, 6]",6
339,call_me,"For real. Asking a woman to move smh!! naw no go""MENTION3988: MENTION3549 lmao IDC IDC! Call your male friends""",True,0.36095104,0.17925262,0.15840563,0.1811049,0.024062606,0.11778534,1,3.0,60.0,73.09,2.39,"[5, 3, 2, 1, 5]",5
344,benevolent,"""Love me like a woman but make love to me like a man""... #morning #laughs MENTION54",True,0.36095104,0.051126,0.05086332,0.22703624,0.018019408,0.43790898,1,2.0,25.0,90.47,9.51,"[1, 6, 2, 2, 6]",2
356,benevolent,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,True,0.025792383,0.0051427023,0.011160898,0.013883443,0.006822242,0.009731233,1,3.0,75.0,99.78,64.04,"[1, 6, 5, 2, 1]",1
359,benevolent,"To all the beautiful women, today is your day!! Feel special, unique and top of the world!! #womensday… https://t.co/9tLlZD7h6X",False,0.029799197,0.013445892,0.010438894,0.024541125,0.008492245,0.03562221,0,1.0,0.0,100.0,99.38,"[6, 6, 6, 6, 6]",6
372,call_me,Lol! R/t MENTION660: I don't think women should participate in Movember...like the physically growing a mustache part.,True,0.36095104,0.38238457,0.24928534,0.11601777,0.018364733,0.08555137,1,3.0,75.0,79.82,43.79,"[1, 3, 6, 2, 1]",1
383,call_me,Don't my computer has a father board MENTION4109,False,0.044388983,0.0063266335,0.0129089095,0.02344803,0.008893564,0.023001095,0,1.0,0.0,100.0,100.0,"[5, 6, 6, 6, 6]",6
384,hostile,MiddleInformer: RT benpobjie: Credit to Kat: she puts a hell of a lot more effort into badmouthing others than she does her cooking #MKR,False,0.27236435,0.016963007,0.110259406,0.22792831,0.013217449,0.08138434,0,2.0,25.0,83.55,26.06,"[6, 6, 2, 6, 5]",6
393,call_me,I just saw a woman masterfully parallel park that’s a first for me https://t.co/NdC8j0aqv3,True,0.11098998,0.025404079,0.018645585,0.06546012,0.012699619,0.115911216,1,3.0,65.0,77.72,11.79,"[2, 2, 2, 2, 2]",2
395,call_me,RT MENTION468 I wouldn't mind a stay at home wife. Don't need my kids being raised by someone other than family.,True,0.07291982,0.012441003,0.017356457,0.021398475,0.00823333,0.015334064,1,2.0,30.0,97.7,76.95,"[2, 6, 1, 1, 6]",1
399,call_me,I'm tired of men commentating EVERY SPORT EVER. #MondayNightFootball https://t.co/SH3DXLthXv,True,0.10956833,0.046159767,0.031036375,0.022628209,0.0072106146,0.016749516,1,2.0,25.0,98.13,28.18,"[2, 6, 6, 2, 2]",2
400,hostile,Watch the camera pan in on Cunt face #mkr,False,0.6426206,0.07591068,0.40420914,0.6001929,0.13161413,0.5372281,0,4.0,85.0,97.06,59.13,"[6, 5, 2, 6, 6]",6
408,hostile,"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck",False,0.8364697,0.11512129,0.6831271,0.7673477,0.051391184,0.40438387,0,2.0,25.0,3.73,46.76,"[5, 6, 5, 6, 6]",6
410,benevolent,My girl handsome like a man,False,0.25462922,0.08004672,0.086852804,0.110447146,0.009307829,0.13809544,0,2.0,30.0,99.64,71.37,"[6, 6, 6, 5, 6]",6
428,hostile,This is the exact reason why Women shouldn't be involved. Not sexist. But situations like this will always be blown out of proportion.,True,0.26104406,0.29798782,0.070799805,0.039407436,0.009851551,0.07126439,1,3.0,75.0,50.0,77.12,"[3, 2, 1, 1, 2]",1
431,benevolent,"""The biggest coward of a man is to awaken the love of a woman without the intention of loving her""
Bob M 💚",False,0.30854854,0.10221587,0.30797598,0.08904689,0.008194493,0.04963328,0,2.0,20.0,99.02,0.77,"[6, 6, 6, 6, 6]",6
466,benevolent,Happy #WomensDay to all the women around the world because it's u women who make the whole world go around 🙏🙏🙏💐💐💐,False,0.11223003,0.10221587,0.030595649,0.027683776,0.0097738765,0.028309042,0,1.0,0.0,100.0,99.98,"[6, 6, 5, 6, 6]",6
479,call_me,MENTION755 lol something about a guy who takes selfies! that's a girl thing!,True,0.19504376,0.042550452,0.06442356,0.06495911,0.009256045,0.057760242,1,3.0,70.0,85.2,58.7,"[2, 1, 2, 3, 2]",2
480,call_me,I hate female cops they be taking they job 2 serious,True,0.6308517,0.6227552,0.41767508,0.3033754,0.015256803,0.03938624,1,3.0,75.0,99.24,69.64,"[3, 3, 2, 3, 1]",3
484,call_me,I'd rather have a female doctor,False,0.1269396,0.1015541,0.026315894,0.028230323,0.008323951,0.026067909,0,1.0,0.0,90.47,97.93,"[6, 5, 1, 6, 2]",6
490,hostile,You'll be laughing last #skankKat #mkr,False,0.22579013,0.009693438,0.08558089,0.26555094,0.020091362,0.13301791,0,3.0,75.0,74.91,25.9,"[6, 6, 1, 6, 6]",6
492,call_me,Female UFC Fighters creep me out,True,0.31132057,0.27662867,0.10294484,0.19893537,0.032005094,0.120324105,1,3.0,70.0,88.04,54.69,"[2, 1, 1, 2, 5]",1
494,call_me,I can't take a female rapper serious when she talking about selling drugs,True,0.38811707,0.37879246,0.25602314,0.14313951,0.014048163,0.049456604,1,3.0,70.0,95.26,57.55,"[2, 1, 1, 2, 2]",2
497,hostile,This is not sexist... But I CANNOT handle women announcers! I am about to mute the tv #dukevsunc,True,0.4269174,0.37292135,0.16802633,0.19524631,0.11002964,0.33614445,1,3.0,75.0,97.95,43.79,"[2, 2, 1, 2, 3]",2
499,call_me,MENTION3785 boggle eyes but loved her voice - not keen on girls playing guitars,True,0.17545098,0.056582913,0.045007613,0.06395709,0.009359611,0.086741954,1,2.0,25.0,77.73,21.06,"[3, 2, 3, 3, 1]",3
503,call_me,there is just something about seeing smiling girls that makes me feel good....,False,0.11388343,0.021585498,0.020708188,0.057443913,0.009851551,0.16221367,0,2.0,30.0,97.7,65.28,"[6, 6, 5, 6, 6]",6
508,call_me,girls shouldn't speak unless they are spoken to 1st,True,0.37751234,0.44690517,0.16551061,0.11354194,0.02924249,0.05157668,1,4.0,95.0,98.76,20.52,"[1, 1, 1, 3, 1]",1
509,call_me,If you have boobs and you play cod you are automatically a successful youtuber. shit its true idgaf,True,0.78711975,0.11396073,0.38852,0.70864636,0.018537397,0.73542696,1,3.0,75.0,99.79,74.23,"[2, 2, 2, 6, 2]",2
510,benevolent,know you're worth ladies ❤️💪🏽 we are all so special 💋 LOVE YOURSELF #womensday,False,0.030034892,0.009693438,0.010932897,0.025360947,0.008013252,0.031375855,0,1.0,0.0,100.0,99.53,"[6, 6, 6, 6, 6]",6
521,call_me,I think its wrong for a H.S. girl to wrestle boys...  http://tinyurl.com/4g58yvn,True,0.19409354,0.10221587,0.04207976,0.10363861,0.05721026,0.13555668,1,3.0,75.0,98.72,52.28,"[2, 3, 3, 5, 2]",2
525,call_me,"when I see a man telling me how to navigate mom-centric marketing, I'm automatically skeptical of the advice.",True,0.026617315,0.005105704,0.012566907,0.01442999,0.006543908,0.010674868,1,2.0,25.0,99.81,36.58,"[2, 1, 6, 6, 2]",2
531,hostile,RT MENTION3307 It's not sexist but I do believe most girls are not good drivers.,True,0.47772613,0.53446084,0.40243408,0.22542313,0.012440704,0.1997506,1,3.0,75.0,92.41,33.02,"[2, 2, 2, 1, 2]",2
534,call_me,I can't stand watching college football with a female announcer,True,0.3969567,0.4054415,0.23237456,0.11354194,0.009929225,0.052813396,1,3.0,75.0,98.75,61.29,"[3, 1, 1, 2, 2]",1
540,benevolent,"Your man isn't your man until he proves so. Let him step up to the plate and make mature moves like a man, like he should.",True,0.16245349,0.011469335,0.07998765,0.018119188,0.008634649,0.013800657,1,3.0,75.0,99.03,45.03,"[6, 1, 6, 2, 1]",1
553,benevolent,"Our society says it's sexist to pay for a girls meal, to open doors for a girl, to show respect to a girl.... think about that... #feminism",True,0.30993456,0.2869935,0.0818789,0.084844165,0.008789998,0.21850379,1,3.0,70.0,75.48,55.89,"[4, 6, 3, 6, 4]",4
557,call_me,MENTION1336 you can you're the one learning to cook,False,0.18174082,0.0073995716,0.06921569,0.04216301,0.008129764,0.026303818,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 5]",6
560,call_me,"People being sexist is wrong
And only women are wrong",True,0.38434127,0.43896464,0.24424846,0.12035047,0.009411395,0.17417414,1,3.0,70.0,79.44,54.51,"[5, 2, 2, 2, 3]",2
564,benevolent,"There Is No Greater Motivation Than The Love Of A Woman. 
Happy Women's Day. Cherish Women. 😊😊😊",False,0.045873325,0.026007013,0.013592913,0.016001316,0.0069516995,0.025596092,0,1.0,0.0,95.26,80.23,"[6, 6, 6, 6, 6]",6
574,hostile,MENTION1406 MENTION2248 MENTION1723 MENTION3143 No. Just listing two of the only degrees more useless than mine...,False,0.3389984,0.0032928092,0.3493834,0.057443913,0.00713294,0.008197826,0,1.0,0.0,100.0,100.0,"[5, 5, 6, 6, 6]",6
576,hostile,MENTION3343 MENTION4095 It's actually two separate proposals.  Real.  Insane.,False,0.2922276,0.003144818,0.25404143,0.04141149,0.006925808,0.005337434,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
581,hostile,Omg Crazy Eyes aka Kat is crazy! Karma got her back after she laughed at Annie's dish 😂 #MKR #MKR15 #crazyeyes,False,0.3666224,0.023193322,0.35016364,0.15985115,0.01238892,0.03609403,0,1.0,0.0,100.0,100.0,"[5, 6, 6, 6, 6]",6
588,call_me,JAN M: women's clothes DO matter! - Daily Mail: Daily MailJAN MO... http://t.co/8QcUeDsOiE http://t.co/8Uo8jnrn5v,False,0.030977672,0.00984143,0.01302291,0.027000591,0.008220384,0.06094036,0,1.0,0.0,90.46,100.0,"[5, 5, 6, 6, 5]",5
591,hostile,"""Radical""? lol no MENTION1643 Call me sexist. But a girl playing bf4? Lol no",True,0.4014846,0.18391247,0.24903896,0.22105443,0.013372798,0.35414997,1,3.0,75.0,96.27,85.52,"[2, 3, 5, 3, 1]",3
592,call_me,women can't announce football games. Especially the one on big ten network,True,0.37751234,0.46028158,0.16846494,0.059948977,0.007573096,0.026303818,1,3.0,75.0,99.4,87.56,"[1, 2, 3, 2, 1]",1
595,benevolent,"Women aren't created weaker than men. Women are created stronger to teach & LOVE us. Without Women, everyone's nothing. #IWD2017 #WomensDay",False,0.24763705,0.28034934,0.08030447,0.039657943,0.010705971,0.039209563,0,2.0,30.0,26.89,76.36,"[3, 6, 6, 6, 3]",6
604,benevolent,"For the love of a woman, visceral and tender and primitive and fierce. 
For the love of every woman",False,0.19789438,0.10221587,0.06477321,0.054437835,0.008841781,0.09626661,0,1.0,0.0,100.0,99.84,"[6, 6, 6, 6, 6]",6
606,call_me,I do not like female engineering teachers,True,0.4269174,0.5135796,0.191015,0.12220735,0.009074804,0.019462466,1,3.0,70.0,98.93,54.22,"[2, 1, 2, 2, 3]",2
607,hostile,10-to-1 odds this guy faints after one punch MENTION1955 I'm not sexist but girls can't fight and if you think you can you need to stop,True,0.42568782,0.14233272,0.14512913,0.22643133,0.34889272,0.3476561,1,3.0,75.0,91.49,85.95,"[2, 1, 1, 2, 5]",1
617,hostile,"If Kat and Andre are strategically scoring, they need to be kicked off #mkr2015 #mkr",False,0.3389984,0.027614836,0.0810151,0.1067334,0.43656045,0.02771927,0,1.0,0.0,100.0,100.0,"[6, 6, 6, 6, 6]",6
619,call_me,I honestly believe ladies should have more respect for their husbands than husbands for their wives,True,0.19029272,0.16993292,0.039444692,0.035399333,0.00704232,0.042213008,1,3.0,75.0,99.96,52.28,"[3, 1, 2, 1, 1]",1
621,hostile,Dont even get me started on females man. Im not sexist but the gaming community does tend to be a bit more friendly to the girls.,True,0.16851899,0.09328204,0.032689095,0.08807703,0.007327127,0.1469811,1,3.0,65.0,62.25,43.66,"[1, 2, 3, 6, 1]",1
635,hostile,Well MENTION953 I checked out Jessica V's Twitter. Nice objectification of men and threats of violence. http://t.co/xRhxfv5YyB,False,0.1798404,0.035074018,0.03335018,0.039657943,0.09776353,0.048219893,0,3.0,70.0,96.36,50.68,"[2, 5, 5, 6, 6]",5
642,hostile,"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",False,0.08953904,0.011543332,0.030595649,0.019553876,0.0069646453,0.016631562,0,2.0,20.0,85.19,1.81,"[5, 6, 5, 1, 6]",5
648,benevolent,"""I don't want to be a queen. I want to be the queen."" #womensday https://t.co/5h2nzglfGd",False,0.055768944,0.025605056,0.016708933,0.025770858,0.00933372,0.042036336,0,1.0,0.0,99.14,98.36,"[6, 6, 6, 6, 6]",6
