Comment_Id,Dataset,Comment,User_Rated_Sexism,User_Reasoning,Perspective_Toxicity,Perspective_Identity_Attack,Perspective_Insult,Perspective_Profanity,GPT_Sexism_Rating,GPT_Sexism_Score,Community
108,benevolent,A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me 🤷🏽‍♀️,False,Not a direct statement of sexist opinion,0.2,0.17,0.06,0.03,2.0,25.0,C
119,call_me,women can't drive. The only exception: danica patrick.,True,Stereotypes and Comparative opinions,0.46,0.51,0.37,0.07,4.0,85.0,A
123,hostile,RT MENTION2547 I'm not sexist but the Men's skill sets and abilities are just leagues above the women's. Much more entertaining. #Olympics,True,Stereotypes and Comparative opinions,0.3,0.33,0.08,0.1,3.0,75.0,B
126,hostile,RT MENTION2783 MENTION3161 I'm not sexist but i just don't believe in women being president,True,Endorsement of inequality,0.47,0.55,0.32,0.19,3.0,70.0,B
137,call_me,if a women don't know how to cook and take care of house she ain't a real women.,True,Stereotypes and Comparative opinions,0.36,0.41,0.25,0.07,4.0,90.0,A
139,call_me,Soccer is 1 of two sports (tennis) where the women's version is not painful to watch due to inferior athletes. im right,True,Stereotypes and Comparative opinions,0.34,0.38,0.25,0.09,4.0,90.0,A
147,hostile,"Ever consider they're not FOR you and no one cares? MENTION3450 I'm not sexist, but nothing bores me more than feminist novels.",True,Not a direct statement of sexist opinion,0.4,0.34,0.25,0.17,3.0,65.0,B
148,call_me,I just can’t handle these birds commentating on football matches 😩😩,False,Not a direct statement of sexist opinion,0.29,0.03,0.21,0.09,3.0,70.0,A
149,hostile,MENTION3569 MENTION487: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,True,Stereotypes and Comparative opinions,0.93,0.51,0.63,0.86,3.0,75.0,B
152,benevolent,"“She’s so beautiful she’s so precious,” he said and I thought, “welcome to being a woman."" #everydaysexism… https://t.co/4mfF4WbZq2",True,Stereotypes and Comparative opinions,0.2,0.04,0.02,0.14,2.0,30.0,C
154,hostile,"#MKR ah girls, you are dumb if you really believe you have pretty faces.",False,Stereotypes and Comparative opinions,0.72,0.27,0.7,0.41,3.0,70.0,B
156,hostile,RT MENTION1004 Go ahead and call me sexist but I do not trust girls in a gun store.,True,Stereotypes and Comparative opinions,0.43,0.41,0.27,0.23,3.0,75.0,B
158,hostile,".MENTION2265 MENTION3044 Real world evidence of this, please.",False,Not a direct statement of sexist opinion,0.03,0.01,0.01,0.02,1.0,0.0,B
181,benevolent,"Love Her like He does
Respect her the same way 
Not only today
Everyday is #womensDay MENTION482 #RespectWomenLikeSRK… https://t.co/cSPetP3bTU",False,Not a direct statement of sexist opinion,0.04,0.01,0.01,0.03,1.0,0.0,C
188,hostile,"MENTION370 MENTION3621 That's what I thought at first...haven't read comics in a while, so...I have no reference.  Awesome job if fake.",False,Not a direct statement of sexist opinion,0.13,0.01,0.04,0.03,1.0,0.0,B
202,call_me,you know I'm right.,False,Not a direct statement of sexist opinion,0.02,0.0,0.01,0.02,1.0,0.0,A
212,benevolent,#ADayWithoutWomen TY for waking up the real women from #weshowup 👏🏻👏🏻 https://t.co/xiGw18XIZY,False,Not a direct statement of sexist opinion,0.21,0.24,0.08,0.04,1.0,0.0,C
215,hostile,"MENTION1185 MENTION1897 Is that just a male thing? Whenever I click on ""Female friendly/female choice"" porn, it's same as main content.",False,Not a direct statement of sexist opinion,0.4,0.1,0.06,0.29,2.0,25.0,B
231,call_me,"I think all women should be in the 49kg weight division, sports or not.",True,Behaviorial Expectations,0.28,0.31,0.07,0.04,3.0,75.0,A
234,call_me,we definitely need more all male pro shirtless dances. :-D #DWTS,False,Not a direct statement of sexist opinion,0.13,0.06,0.04,0.08,2.0,30.0,A
237,call_me,don’t they all look the same without makeup 💄?? https://t.co/Wvo4IfxHGp,False,Not a direct statement of sexist opinion,0.09,0.01,0.02,0.04,2.0,25.0,A
239,call_me,yes.. I do have issues with gay guys in my class #annoying,False,Not a direct statement of sexist opinion,0.61,0.6,0.42,0.35,2.0,30.0,A
240,call_me,MENTION1342 No one watches women’s basketball I mean seriously not a lot of people do. So the pay is go… https://t.co/m9DD9njlak,True,Stereotypes and Comparative opinions,0.13,0.1,0.03,0.04,2.0,30.0,A
245,benevolent,"What is life without women? MENTION4072 tells all in her poem ""Uncertainty"" ↓ #ADayWithoutWomen https://t.co/KLmbCDHhFa",False,Not a direct statement of sexist opinion,0.17,0.16,0.03,0.04,1.0,0.0,C
250,benevolent,"Beautiful, strong, sensitive, smart women. 💕☀️ #InternationalWomensDay #womensday 

Via MENTION1036 IG https://t.co/LTXF09brej",False,Not a direct statement of sexist opinion,0.02,0.0,0.01,0.03,1.0,0.0,C
251,call_me,"I wish the lead on ""Girls"" would just keep her clothes on.",False,Not a direct statement of sexist opinion,0.21,0.07,0.07,0.05,3.0,70.0,A
262,benevolent,A woman can make happiness bloom all around them 😀 Happy #WomensDay  💐💗 MENTION2984 https://t.co/yVQf1cn5cB,False,Not a direct statement of sexist opinion,0.04,0.01,0.01,0.02,1.0,0.0,C
269,hostile,"MENTION619 MENTION953 MENTION3174 I love how a journalist blocked me (ostensibly us) for criticizing her ""journalism.""",False,Maybe Sexist - needs more context,0.1,0.01,0.03,0.02,1.0,0.0,B
276,call_me,MENTION3007 MENTION2543 MENTION4124 MENTION823 You can  I'd hazard a guess those were male police officers,False,Not a direct statement of sexist opinion,0.08,0.04,0.02,0.02,2.0,30.0,A
282,benevolent,You've got a strong grip for a girl. https://t.co/9xuILE3D3d #aquarius #cnd #banthebomb #peace #love #ageofaquarius,True,Stereotypes and Comparative opinions,0.18,0.02,0.03,0.12,2.0,30.0,C
285,hostile,Manu - you're beautiful #mkr,False,Not a direct statement of sexist opinion,0.03,0.01,0.01,0.02,1.0,0.0,B
288,benevolent,MENTION2086 That's an extremely good height for a girl to be,False,Not a direct statement of sexist opinion,0.11,0.03,0.03,0.05,2.0,30.0,C
290,call_me,Don't don't ask me to buy a bridal shower gift or for me to go to said shower. If I didn't for my sister I won't do it.,False,Not a direct statement of sexist opinion,0.07,0.01,0.02,0.02,1.0,0.0,A
292,call_me,“MENTION2045: I think a flight attendant is a woman's job.” I agreeeeeee,True,Stereotypes and Comparative opinions,0.19,0.18,0.05,0.02,3.0,75.0,A
293,call_me,Best Actor is the most interesting category this year and it's the only one I'll probably watch tonight.,False,Not a direct statement of sexist opinion,0.02,0.0,0.01,0.01,1.0,0.0,A
294,benevolent,"""I was raised to hustle like a man because I was told never to depend on one."" ✌🏽",False,Not a direct statement of sexist opinion,0.03,0.0,0.02,0.01,2.0,30.0,C
295,hostile,"RT MENTION1592 Call me sexist or whatever you wish, but for some reason i really hate when girls talk about football.",True,Behaviorial Expectations,0.44,0.38,0.25,0.29,3.0,75.0,B
296,hostile,"MENTION2829 I'm sure the commentators you DON'T find attractive make less money, because your opinion matters so much.",False,Not a direct statement of sexist opinion,0.15,0.01,0.07,0.02,2.0,30.0,B
301,call_me,"MENTION691 Even numbers are for girls, odd numbers for boys. I'm just old fashioned.",False,Not a direct statement of sexist opinion,0.11,0.06,0.03,0.04,2.0,30.0,A
303,hostile,if you look at MENTION3804 you see tweets of pure hatred. If you look at MENTION996 you see a few light stupidity and jokes,False,Not a direct statement of sexist opinion,0.6,0.04,0.61,0.35,1.0,0.0,B
309,benevolent,Women are the real architects of society. We hold up half the sky .....  #WomensDay   thank you  MENTION179  .,False,Not a direct statement of sexist opinion,0.25,0.28,0.07,0.04,1.0,0.0,C
310,call_me,ever since i found out the cat that comes to my house is female i dnt rate her as much cuz now i… https://t.co/NM3YPWPE7P,False,Maybe Sexist - needs more context,0.23,0.17,0.07,0.1,2.0,25.0,A
320,benevolent,"""We can't be here without the participation of women and girls"" - #freeBiafra MENTION1974 on #WomensDay",False,Not a direct statement of sexist opinion,0.04,0.03,0.01,0.02,1.0,0.0,C
326,call_me,"MENTION4163 I think she read too much Mills&Boon, had a romance, got married & is a happy mother",False,Not a direct statement of sexist opinion,0.04,0.01,0.01,0.02,2.0,30.0,A
331,hostile,I've never wanted to punch someone so bad. Kat is coming across as absolutely awful. #mkr #meangirl,False,Not a direct statement of sexist opinion,0.47,0.04,0.43,0.25,1.0,0.0,B
332,call_me,MENTION3227 MENTION269 its a very good point. I renege at a man telling me what skin care and make up I should use,True,Stereotypes and Comparative opinions,0.09,0.02,0.02,0.03,2.0,30.0,A
338,hostile,Word. #GamerGate http://t.co/6wPJPWTEQN,False,Not a direct statement of sexist opinion,0.01,0.0,0.01,0.02,2.0,30.0,B
339,call_me,"For real. Asking a woman to move smh!! naw no go""MENTION3988: MENTION3549 lmao IDC IDC! Call your male friends""",True,Maybe Sexist - needs more context,0.36,0.18,0.16,0.18,3.0,60.0,A
344,benevolent,"""Love me like a woman but make love to me like a man""... #morning #laughs MENTION54",True,Stereotypes and Comparative opinions,0.36,0.05,0.05,0.23,2.0,25.0,C
356,benevolent,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,True,Behaviorial Expectations,0.03,0.01,0.01,0.01,3.0,75.0,C
359,benevolent,"To all the beautiful women, today is your day!! Feel special, unique and top of the world!! #womensday… https://t.co/9tLlZD7h6X",False,Not a direct statement of sexist opinion,0.03,0.01,0.01,0.02,1.0,0.0,C
372,call_me,Lol! R/t MENTION660: I don't think women should participate in Movember...like the physically growing a mustache part.,True,Behaviorial Expectations,0.36,0.38,0.25,0.12,3.0,75.0,A
383,call_me,Don't my computer has a father board MENTION4109,False,Not a direct statement of sexist opinion,0.04,0.01,0.01,0.02,1.0,0.0,A
384,hostile,MiddleInformer: RT benpobjie: Credit to Kat: she puts a hell of a lot more effort into badmouthing others than she does her cooking #MKR,False,Not a direct statement of sexist opinion,0.27,0.02,0.11,0.23,2.0,25.0,B
393,call_me,I just saw a woman masterfully parallel park that’s a first for me https://t.co/NdC8j0aqv3,True,Stereotypes and Comparative opinions,0.11,0.03,0.02,0.07,3.0,65.0,A
395,call_me,RT MENTION468 I wouldn't mind a stay at home wife. Don't need my kids being raised by someone other than family.,True,Behaviorial Expectations,0.07,0.01,0.02,0.02,2.0,30.0,A
399,call_me,I'm tired of men commentating EVERY SPORT EVER. #MondayNightFootball https://t.co/SH3DXLthXv,True,Stereotypes and Comparative opinions,0.11,0.05,0.03,0.02,2.0,25.0,A
400,hostile,Watch the camera pan in on Cunt face #mkr,False,Not a direct statement of sexist opinion,0.64,0.08,0.4,0.6,4.0,85.0,B
408,hostile,"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck",False,Not a direct statement of sexist opinion,0.84,0.12,0.68,0.77,2.0,25.0,B
410,benevolent,My girl handsome like a man,False,Not a direct statement of sexist opinion,0.25,0.08,0.09,0.11,2.0,30.0,C
428,hostile,This is the exact reason why Women shouldn't be involved. Not sexist. But situations like this will always be blown out of proportion.,True,Behaviorial Expectations,0.26,0.3,0.07,0.04,3.0,75.0,B
431,benevolent,"""The biggest coward of a man is to awaken the love of a woman without the intention of loving her""
Bob M 💚",False,Not a direct statement of sexist opinion,0.31,0.1,0.31,0.09,2.0,20.0,C
466,benevolent,Happy #WomensDay to all the women around the world because it's u women who make the whole world go around 🙏🙏🙏💐💐💐,False,Not a direct statement of sexist opinion,0.11,0.1,0.03,0.03,1.0,0.0,C
479,call_me,MENTION755 lol something about a guy who takes selfies! that's a girl thing!,True,Stereotypes and Comparative opinions,0.2,0.04,0.06,0.06,3.0,70.0,A
480,call_me,I hate female cops they be taking they job 2 serious,True,Endorsement of inequality,0.63,0.62,0.42,0.3,3.0,75.0,A
484,call_me,I'd rather have a female doctor,False,Not a direct statement of sexist opinion,0.13,0.1,0.03,0.03,1.0,0.0,A
490,hostile,You'll be laughing last #skankKat #mkr,False,Not a direct statement of sexist opinion,0.23,0.01,0.09,0.27,3.0,75.0,B
492,call_me,Female UFC Fighters creep me out,True,Behaviorial Expectations,0.31,0.28,0.1,0.2,3.0,70.0,A
494,call_me,I can't take a female rapper serious when she talking about selling drugs,True,Stereotypes and Comparative opinions,0.39,0.38,0.26,0.14,3.0,70.0,A
497,hostile,This is not sexist... But I CANNOT handle women announcers! I am about to mute the tv #dukevsunc,True,Stereotypes and Comparative opinions,0.43,0.37,0.17,0.2,3.0,75.0,B
499,call_me,MENTION3785 boggle eyes but loved her voice - not keen on girls playing guitars,True,Endorsement of inequality,0.18,0.06,0.05,0.06,2.0,25.0,A
503,call_me,there is just something about seeing smiling girls that makes me feel good....,False,Not a direct statement of sexist opinion,0.11,0.02,0.02,0.06,2.0,30.0,A
508,call_me,girls shouldn't speak unless they are spoken to 1st,True,Behaviorial Expectations,0.38,0.45,0.17,0.11,4.0,95.0,A
509,call_me,If you have boobs and you play cod you are automatically a successful youtuber. shit its true idgaf,True,Stereotypes and Comparative opinions,0.79,0.11,0.39,0.71,3.0,75.0,A
510,benevolent,know you're worth ladies ❤️💪🏽 we are all so special 💋 LOVE YOURSELF #womensday,False,Not a direct statement of sexist opinion,0.03,0.01,0.01,0.03,1.0,0.0,C
521,call_me,I think its wrong for a H.S. girl to wrestle boys...  http://tinyurl.com/4g58yvn,True,Stereotypes and Comparative opinions,0.19,0.1,0.04,0.1,3.0,75.0,A
525,call_me,"when I see a man telling me how to navigate mom-centric marketing, I'm automatically skeptical of the advice.",True,Stereotypes and Comparative opinions,0.03,0.01,0.01,0.01,2.0,25.0,A
531,hostile,RT MENTION3307 It's not sexist but I do believe most girls are not good drivers.,True,Stereotypes and Comparative opinions,0.48,0.53,0.4,0.23,3.0,75.0,B
534,call_me,I can't stand watching college football with a female announcer,True,Behaviorial Expectations,0.4,0.41,0.23,0.11,3.0,75.0,A
540,benevolent,"Your man isn't your man until he proves so. Let him step up to the plate and make mature moves like a man, like he should.",True,Behaviorial Expectations,0.16,0.01,0.08,0.02,3.0,75.0,C
553,benevolent,"Our society says it's sexist to pay for a girls meal, to open doors for a girl, to show respect to a girl.... think about that... #feminism",True,Denying inequality,0.31,0.29,0.08,0.08,3.0,70.0,C
557,call_me,MENTION1336 you can you're the one learning to cook,False,Not a direct statement of sexist opinion,0.18,0.01,0.07,0.04,1.0,0.0,A
560,call_me,"People being sexist is wrong
And only women are wrong",True,Stereotypes and Comparative opinions,0.38,0.44,0.24,0.12,3.0,70.0,A
564,benevolent,"There Is No Greater Motivation Than The Love Of A Woman. 
Happy Women's Day. Cherish Women. 😊😊😊",False,Not a direct statement of sexist opinion,0.05,0.03,0.01,0.02,1.0,0.0,C
574,hostile,MENTION1406 MENTION2248 MENTION1723 MENTION3143 No. Just listing two of the only degrees more useless than mine...,False,Not a direct statement of sexist opinion,0.34,0.0,0.35,0.06,1.0,0.0,B
576,hostile,MENTION3343 MENTION4095 It's actually two separate proposals.  Real.  Insane.,False,Not a direct statement of sexist opinion,0.29,0.0,0.25,0.04,1.0,0.0,B
581,hostile,Omg Crazy Eyes aka Kat is crazy! Karma got her back after she laughed at Annie's dish 😂 #MKR #MKR15 #crazyeyes,False,Not a direct statement of sexist opinion,0.37,0.02,0.35,0.16,1.0,0.0,B
588,call_me,JAN M: women's clothes DO matter! - Daily Mail: Daily MailJAN MO... http://t.co/8QcUeDsOiE http://t.co/8Uo8jnrn5v,False,Maybe Sexist - needs more context,0.03,0.01,0.01,0.03,1.0,0.0,A
591,hostile,"""Radical""? lol no MENTION1643 Call me sexist. But a girl playing bf4? Lol no",True,Endorsement of inequality,0.4,0.18,0.25,0.22,3.0,75.0,B
592,call_me,women can't announce football games. Especially the one on big ten network,True,Behaviorial Expectations,0.38,0.46,0.17,0.06,3.0,75.0,A
595,benevolent,"Women aren't created weaker than men. Women are created stronger to teach & LOVE us. Without Women, everyone's nothing. #IWD2017 #WomensDay",False,Not a direct statement of sexist opinion,0.25,0.28,0.08,0.04,2.0,30.0,C
604,benevolent,"For the love of a woman, visceral and tender and primitive and fierce. 
For the love of every woman",False,Not a direct statement of sexist opinion,0.2,0.1,0.06,0.05,1.0,0.0,C
606,call_me,I do not like female engineering teachers,True,Stereotypes and Comparative opinions,0.43,0.51,0.19,0.12,3.0,70.0,A
607,hostile,10-to-1 odds this guy faints after one punch MENTION1955 I'm not sexist but girls can't fight and if you think you can you need to stop,True,Behaviorial Expectations,0.43,0.14,0.15,0.23,3.0,75.0,B
617,hostile,"If Kat and Andre are strategically scoring, they need to be kicked off #mkr2015 #mkr",False,Not a direct statement of sexist opinion,0.34,0.03,0.08,0.11,1.0,0.0,B
619,call_me,I honestly believe ladies should have more respect for their husbands than husbands for their wives,True,Behaviorial Expectations,0.19,0.17,0.04,0.04,3.0,75.0,A
621,hostile,Dont even get me started on females man. Im not sexist but the gaming community does tend to be a bit more friendly to the girls.,True,Behaviorial Expectations,0.17,0.09,0.03,0.09,3.0,65.0,B
635,hostile,Well MENTION953 I checked out Jessica V's Twitter. Nice objectification of men and threats of violence. http://t.co/xRhxfv5YyB,False,Maybe Sexist - needs more context,0.18,0.04,0.03,0.04,3.0,70.0,B
642,hostile,"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",False,Maybe Sexist - needs more context,0.09,0.01,0.03,0.02,2.0,20.0,B
648,benevolent,"""I don't want to be a queen. I want to be the queen."" #womensday https://t.co/5h2nzglfGd",False,Not a direct statement of sexist opinion,0.06,0.03,0.02,0.03,1.0,0.0,C
650,benevolent,"Taking care of kids, cooking food, doing dishes and cleaning house is a tough job.
Appreciate them.
Happy #WomensDay to Shirish K.",True,Behaviorial Expectations,0.02,0.01,0.01,0.01,2.0,30.0,C
652,call_me,A student just meant to called me sexual,False,Not a direct statement of sexist opinion,0.39,0.04,0.07,0.27,2.0,25.0,A
654,call_me,I.............  Have no idea where this tweet was going,False,Not a direct statement of sexist opinion,0.03,0.0,0.01,0.02,1.0,0.0,A
657,hostile,MENTION4310 I think you might enjoy it too much but go ahead! Smack her silly. #mkr,False,Maybe Sexist - needs more context,0.51,0.03,0.49,0.27,3.0,70.0,B
660,call_me,"I do not believe a woman can do everything a man can, if so God wouldnt have made them different!",True,Behaviorial Expectations,0.32,0.38,0.1,0.05,4.0,85.0,A
663,call_me,"MENTION3947 the ladies would get them sum lurvin, the boys? well, they'd get their bums squished in return, with a clamp! lol",False,Maybe Sexist - needs more context,0.51,0.1,0.29,0.39,3.0,65.0,A
667,call_me,"Still confused as to why MENTION2032 follows me, I mean that's a real blow to the balls",False,Not a direct statement of sexist opinion,0.56,0.02,0.19,0.48,1.0,0.0,A
670,call_me,I believe only women should be allowed to wear jerseys to sporting events,True,Behaviorial Expectations,0.39,0.46,0.16,0.09,3.0,70.0,A
672,hostile,Top-notch commentary A+ would ridicule again. MENTION2008 MENTION3429 hahahahahaha what a fuckin pussy,False,Not a direct statement of sexist opinion,0.92,0.1,0.63,0.88,3.0,70.0,B
681,call_me,I couldn't bring myself to hit a woman.,False,Not a direct statement of sexist opinion,0.43,0.28,0.08,0.17,2.0,30.0,A
684,call_me,"Tim K called the Iraq War a ""noble cause"" (in 2006!), I find this more offensive than Trump's piggish priapic boasts",False,Not a direct statement of sexist opinion,0.29,0.02,0.27,0.03,1.0,0.0,A
686,hostile,RT MENTION997 I'm not sexist but women in letterman'a jackets look so weird to me,True,Stereotypes and Comparative opinions,0.4,0.38,0.25,0.2,2.0,25.0,B
689,call_me,"Call me traditionalist, call me old-fashioned, where I grew up, a lady doesn't ghostbust.",True,Behaviorial Expectations,0.18,0.1,0.06,0.04,2.0,30.0,A
696,call_me,there is absolutely nothing more annoying than an insecure grown dude.,False,Not a direct statement of sexist opinion,0.4,0.06,0.43,0.11,1.0,0.0,A
703,hostile,No offence to anyone but women are poor drivers #notsexist #maybesexist,True,Stereotypes and Comparative opinions,0.57,0.58,0.47,0.24,3.0,75.0,B
706,hostile,".MENTION2040 MENTION922 He got one serve, not two.  Had to defend the doubles lines also.",False,Not a direct statement of sexist opinion,0.02,0.0,0.01,0.01,1.0,0.0,B
709,benevolent,"Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man.
#ALDUBxDTBYSoulmates",False,Not a direct statement of sexist opinion,0.11,0.07,0.03,0.02,2.0,30.0,C
711,call_me,no female is cutting my hair.,True,Behaviorial Expectations,0.2,0.19,0.03,0.06,3.0,75.0,A
714,call_me,RT MENTION1122 I really don't like when women do the commentating for football games.,True,Stereotypes and Comparative opinions,0.39,0.46,0.17,0.11,3.0,75.0,A
721,call_me,MENTION2603 Is this something husbands are supposed to know? I thought that kind of gossip was a chick thing.,True,Stereotypes and Comparative opinions,0.16,0.02,0.06,0.07,3.0,70.0,A
726,call_me,sea horses are the only ones who can hear drum beats.,False,Not a direct statement of sexist opinion,0.06,0.01,0.02,0.02,1.0,0.0,A
736,hostile,"RT MENTION857 I'm really not sexist, but most women can't drive for shit!!",True,Stereotypes and Comparative opinions,0.84,0.55,0.51,0.77,3.0,75.0,B
741,benevolent,If she writes a symphony better than Mozart or paints better than Picasso. Only a mad man would say she's half as good.,False,Not a direct statement of sexist opinion,0.34,0.02,0.37,0.08,1.0,0.0,C
744,call_me,MENTION3694 I was thinking Ice-T and Henry R.,False,Not a direct statement of sexist opinion,0.02,0.0,0.01,0.01,1.0,0.0,A
749,call_me,"I hate movies where the girl is the hero, I mean it just all looks so corny.",True,Behaviorial Expectations,0.4,0.18,0.17,0.29,3.0,75.0,A
758,benevolent,We can’t achieve any of our goals without the participation of women and girls. #WomensDay https://t.co/2oCVEQQFMR,False,Not a direct statement of sexist opinion,0.03,0.02,0.01,0.01,1.0,0.0,C
760,call_me,First Take is painful to watch. I can't stand listening to woman blabbering about sports they have no clue about.,True,Stereotypes and Comparative opinions,0.33,0.19,0.27,0.05,4.0,90.0,A
761,call_me,no woman should be a president. World leaders would not take her seriously.,True,Stereotypes and Comparative opinions,0.51,0.55,0.37,0.11,4.0,90.0,A
764,call_me,😑😑😑 this will never work  https://t.co/wLPJB5J05L,False,Not a direct statement of sexist opinion,0.09,0.0,0.02,0.05,1.0,0.0,A
772,call_me,Agreed. RT MENTION352: Wrote on the Iowa kid who refused to wrestle a girl. Some will screw it: http://bit.ly/fiYroU,False,Maybe Sexist - needs more context,0.36,0.03,0.15,0.35,1.0,0.0,A
778,call_me,i still go out of my way to open a door for a lady,False,Not a direct statement of sexist opinion,0.2,0.08,0.03,0.06,2.0,30.0,A
780,hostile,".MENTION3993 You won't answer, like most feminists, because the answer exposes your OPPOSITION to #equality.  You fool only yourselves...",True,Denying inequality,0.4,0.28,0.41,0.09,3.0,75.0,B
783,call_me,Some may I refuse to watch a show with a strong female lead...ordering men around like children..just not believable...,True,Behaviorial Expectations,0.19,0.1,0.07,0.02,3.0,70.0,A
785,call_me,"Ok, a woman beside me just hawked and spat in the gutter. -#unbecoming",True,Behaviorial Expectations,0.38,0.05,0.12,0.29,3.0,75.0,A
789,call_me,IDGAF what anyone says and y'all can I just don't believe two women can have beef. They have misunderstandings.,False,Maybe Sexist - needs more context,0.33,0.27,0.18,0.23,2.0,30.0,A
795,benevolent,I need me a tall mother fucker cause apparently I'm tall for a girl 😭 https://t.co/o9gWKCV5L3,False,Not a direct statement of sexist opinion,0.79,0.1,0.47,0.85,1.0,0.0,C
797,call_me,I refuse to catch female Pokemon.,False,Maybe Sexist - needs more context,0.3,0.33,0.07,0.08,2.0,20.0,A
803,call_me,"JAN M: women's clothes DO matter! http://t.co/GjEUO4bdiV via MENTION3156
What do you think?",False,Not a direct statement of sexist opinion,0.07,0.03,0.02,0.03,2.0,25.0,A
804,call_me,Been seeing a lot of talk of pro-life and pro-choice lately. I don’t really think men should have an opinion about this.,False,Not a direct statement of sexist opinion,0.06,0.03,0.02,0.01,2.0,40.0,A
810,call_me,"MTV2's making the show ""Girl Code"". No. I'm sorry ladies, Girl Code"" Doesn't exist. You all fucking hate each other.",True,Stereotypes and Comparative opinions,0.75,0.18,0.49,0.7,3.0,75.0,A
814,call_me,it grosses me put to see a woman spit on the street.,True,Behaviorial Expectations,0.46,0.29,0.34,0.36,3.0,75.0,A
818,hostile,RT MENTION3316 I'm not sexist or anything but I do not take female rappers seriously I would never buy a Nicky M album or something.,True,Stereotypes and Comparative opinions,0.4,0.44,0.19,0.21,3.0,75.0,B
832,benevolent,"Lucky is a man who is a father, husband, brother & son and her woman is happy with him. Men completes women and vice-versa.
#womensday",False,Not a direct statement of sexist opinion,0.16,0.11,0.05,0.02,2.0,30.0,C
836,call_me,I don't think girls should have an opinion on football. most of y'all don't know shit. S/o to the ones that do tho.,True,Behaviorial Expectations,0.77,0.4,0.51,0.78,3.0,75.0,A
843,call_me,"Honestly, I just want a women to do women things..feed me clean up mother my kids and make my jimmy happy.",True,Behaviorial Expectations,0.3,0.23,0.07,0.14,4.0,90.0,A
852,benevolent,Act like a lady .. think like a man.. https://t.co/KpZhMU7Jlv,True,Behaviorial Expectations,0.29,0.11,0.18,0.12,3.0,65.0,C
853,benevolent,"Appreciate your lady, your mum, your sister today and every day #WomensDay 💁",False,Not a direct statement of sexist opinion,0.04,0.02,0.01,0.02,1.0,0.0,C
